VM Name,Resource Group,Subscription
7157a9564b0e4c5dbe0aed9844d89855,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
72a3ddd3fa3343739ab9c09968a1ce40,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
74f6c3283d1d49c39fb456137bb3c4c3,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
8a2ec9a8abd648109e744e4c805aa543,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
8deec78af24b495fb3ef29232e25d44a,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
9f241ddb78104cf4be282f84e641905d,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
a19fea366d61479988604cb03e564ec2,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
ac412934bdcd4dfea9cb9f49567d0278,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
b151382e061243f3ad23ce112d7fa520,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
b3fcf7bcd4ca40ec9b0ff59b1f84508f,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
ce894346c3ce48bb99d35cb0473bf7f4,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
d9f8700aec264819b93bd0642455f2a3,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
e3c7623a31224b42bc41214e4fd3eab2,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
e79823a6c88b42a0ae055f4b7706494a,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
ea872bbad37b48be9a1637897c233ab1,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
edc7e99b7a0a41b8be51483b59c175a5,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
ede986421cd34d0f8139f2fbc0d48779,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
f1654d8320bb436e972521067b3250c3,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
f844b2daafe848169373412d9e0e3f53,DATABRICKS-RG-ADBSUSAE2MEDWPROD-R72SB6PPQEZZA,Sub-MoogComm-Corp-Analytics-US-Prod
veeam-proxy-appliance-2b31e5c0-371c-4321-b271-044cba6fc7c7,VEEAM-AUTO-0550518F-5049-4CF4-A9C3-74CA749950CF,Moog-Azure-IaaS
veeam-proxy-appliance-597fe352-1684-44d4-9e99-a3db93423b18,VEEAM-AUTO-0550518F-5049-4CF4-A9C3-74CA749950CF,Moog-Azure-IaaS
gbaz1svHORIZ-clone,RG-GBAZ1-HORIZONS-TEST,Moog-Azure-IaaS
usae2pcrtath01,RG-USAE2-SECURITY-CA-ISSUING-SERVER,Moog-Azure-IaaS
,,Sub-MoogIndustrialGroup-Commercial-ICDTraining
,,Sub-MoogMedical-Commercial-MedicalProducts-DEV/TEST
,,Sub-MoogMedical-Commercial-MedicalProducts
,,Visual Studio Enterprise Subscription
,,Jonathan Daigle Test Subscription
lvm-ilab-test-d,RG-USAE2-GEN-AI-DEVVM-D,Sub-MoogComm-GenerativeAI-NonProd
,,Sub-MoogComm-GenerativeAI-Prod
,,Sub-MoogComm-MoogMobileMachinery-Prod
,,POC Moog External Identity Svc
,,Staging Moog External Identity Svc
,,Production Moog External Identity Svc
USAE2SVGSVDPOC,RG-USAE2-CITRIX-INFRASTRUCTURE-SOLUMINA-GOV-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svptipq002,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-AAD-NONPROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svpxcn001,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-CHINA-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svpxcn002,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-CHINA-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svpxcn003,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-CHINA-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svpxcn004,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-CHINA-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
usae2svpxcn005,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-CHINA-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVUGXSHD01,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-GOV-NON-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPGXSHD02,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-GOV-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPGXSHD03,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-GOV-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
Preparati-tbjby,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-NON-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVUXERP007,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-NON-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVUXERP008,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-NON-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVUXWPS004,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-NON-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
USAE2SVPXCLB003,RG-USAE2-CITRIX-INFRASTRUCTURE-VIRTUALHOSTS-PROD,Sub-Moog-Commercial-EndUserVirtualization-Prod
