Subscription,Resource Group,VM Name,OS,Auto Update Enabled
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-QA,usaz2svqatweb01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-QA,usaz2svqatweb02,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-QA,usaz2svqatwebclk01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-QA,usaz2svqatwebclk02,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-DataFactory-QA,usaz2svqatadf01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-DataFactory-QA,usaz2svqatadf02,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-DataFactory-Dev,usaz2svdatadf01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Services-Dev,usaz2svdatsvc01,Linux,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-Dev,usaz2svdatweb01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-Dev,usaz2svdatkc01,Linux,No
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-QA,usaz2svqatkc01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-QA,usaz2svqatkc02,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-SB,usaz2svsatkc01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Keycloak-SB,usaz2svsatkc02,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb02,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-Application-SB,usaz2svsatweb03,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-AutoTime-WebClock-Dev,usaz2svdatwebclk01,Linux,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Corporate-Xerox-Workplace-App-NP,usaz2nxws01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAZ2-Corporate-Xerox-Workplace-Printserver-NP,usaz2nxwsps01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-Alex-Test,testvm,Windows,No
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-Dashboard-CostaRica-Dev,usae2ddashcr01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-DFRuntime-Dev,usae2dlndfrt01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-Badge-Dev,usae2dbadge01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-inthub-Dev,usae2dinthub01,Windows,Yes
Subscription-Moog-Commercial-Dev/Test,RG-USAE2-LN-DFRuntime-Test,usae2xlndfrt01,Windows,No
Subscription-Moog-Commercial-Dev/Test,RG-Moog-Shipexec-Dev,usaz2svshpexd01,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-MBS,usae2pint01,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-S4,usae2pint03,Windows,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-IRE-PURVIEW,usae2pint05,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-Power-BI-Gateway,usae2pprwbi01,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-Power-BI-Gateway,usae2pprwbi02,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-01,usae2pedw01,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-01,usae2pedw02,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-03,usae2pedw03,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-03,usae2pedw04,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-05,usae2pedw05,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Analytics-EDW-05,usae2pedw06,Windows,Yes
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Workday-Inthub-Prod,usae2pinthub01,Windows,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAE2-Workday-Inthub-Prod,usae2pinthub02,Windows,No
Sub-MoogComm-Corp-Analytics-US-Prod,RG-USAZ2-Workday-Inthub-Prod,usaz2pinthub01,Windows,No
Moog-Azure-IaaS,RG-CAAZ1-Network,CAAZ1SV-VCE01,Linux,Yes
Moog-Azure-IaaS,RG-CAAZ1-Network,CAAZ1SVVCEJMP01,Windows,Yes
Moog-Azure-IaaS,RG-CAAZ1-Veeam,CAAZ1SVVLP01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Shipexec-Prod,usaz2svshpexp01,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-IndySoftware,usae2svindysoft,Windows,Yes
Moog-Azure-IaaS,RG-Moog-Americas-Tibco,usae2svtibd01,Windows,Yes
Moog-Azure-IaaS,RG-USAE2-OpenDNS,USAE2SVODVA01,Linux,No
Moog-Azure-IaaS,RG-USAE2-OpenDNS,USAE2SVODVA02,Linux,No
Moog-Azure-IaaS,RG-IEAZ1-Network,IEAZ1SV-VCE01,Linux,Yes
Moog-Azure-IaaS,RG-IEAZ1-Network,IEAZ1SVVCEJMP01,Windows,Yes
Moog-Azure-IaaS,RG-AUAZ1-NETWORK,AUAZ1SV-VCE01,Linux,Yes
Moog-Azure-IaaS,RG-AUAZ1-NETWORK,AUAZ1SVVCEJMP01,Windows,Yes
Moog-Azure-IaaS,RG-AUAZ1-VEEAM,AUAZ1SVVLP01,Windows,Yes
