Subscription Name,VM Name,Resource Group,Update Group,Location,Maintenance Configuration ID
Sub-MoogComm-Corp-Analytics-NonProd,usae2sint04,RG-USAE2-ANALYTICS-SYNAPSE-IRE-SB,SLOW3-Sun-Prod,eastus2,Slow3-USAE2-Corp-Analytic-NonProd
Sub-MoogComm-Corp-Analytics-NonProd,usae2sint05,RG-USAE2-ANALYTICS-SYNAPSE-IRE-SB,SLOW3-Sun-Prod,eastus2,Slow3-USAE2-Corp-Analytic-NonProd
Sub-MoogComm-Corp-Analytics-UK-NonProd,gbaz1nint01,RG-GBAZ1-ANALYTICS-SYNAPSE-INTEGRATION-RUNTIME-NP,FAST2-Sun-Prod,uksouth,null
Sub-MoogComm-Corp-Analytics-UK-NonProd,gbaz1nint02,RG-GBAZ1-ANALYTICS-SYNAPSE-INTEGRATION-RUNTIME-NP,FAST2-Sun-Prod,uksouth,null
Sub-MoogComm-Corp-Analytics-UK-NonProd,gbaz1nint03,RG-GBAZ1-ANALYTICS-SYNAPSE-INTEGRATION-RUNTIME-NP,FAST2-Sun-Prod,uksouth,null
Sub-MoogComm-Corp-MES-NonProd,usae2svdamq01,RG-USAE2-MES-SOLUMINA-ACTIVEMQ-DEV,FAST1-Thur-NonProd,eastus2,FAST1-USAE2-MES-NonProd
Sub-MoogComm-Corp-MES-NonProd,usae2svnsolba01,RG-USAE2-MES-SOLUMINA-BASTION-NP,FAST1-Thur-NonProd,eastus2,FAST1-USAE2-MES-NonProd
Subscription-Moog-Commercial-Dev/Test,386c16a22d1d435888be4f3436cc3041,DATABRICKS-RG-SFBAGUIODATABRICKS-QSBNAXTYK4OKE,None,eastus2,null
Subscription-Moog-Commercial-Dev/Test,testvm,RG-ALEX-TEST,FAST1-Thur-NonProd,eastus2,Fast1-USAE2-Dev-Test
Subscription-Moog-Commercial-Dev/Test,usae2svqatadf01,RG-USAE2-AUTOTIME-DATAFACTORY-QA,Custom1-Tue-Prod,eastus2,Custom1-USAE2-DevTest
Subscription-Moog-Commercial-Dev/Test,usae2svqatadf02,RG-USAE2-AUTOTIME-DATAFACTORY-QA,Custom2-Thur-Prod,eastus2,Custom2-USAE2-DevTest
Subscription-Moog-Commercial-Dev/Test,BeyondTrust-br.v.2,RG-USAE2-CORE-SECURITY-STORAGE-NP,Appliance,eastus2,null
